ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
73,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2,G1,N3 R5,sample 1,"['N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__0__14-22-41-051.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__1__14-22-42-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__2__14-22-43-051.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__3__14-22-44-051.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__4__14-22-45-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 1_Subt2__5__14-22-46-050.txt']"
74,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2,G2,N3 R5,sample 2,"['N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__0__14-23-09-550.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__1__14-23-10-550.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__2__14-23-11-550.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__3__14-23-12-550.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__4__14-23-13-550.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 2_Subt2__5__14-23-14-550.txt']"
75,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2,G3,N3 R5,sample 3,"['N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__0__14-23-27-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__1__14-23-28-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__2__14-23-29-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__3__14-23-30-050.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__4__14-23-31-049.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 3_Subt2__5__14-23-32-049.txt']"
76,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2,G4,N3 R5,sample 4,"['N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__0__14-23-49-549.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__1__14-23-50-549.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__2__14-23-51-549.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__3__14-23-52-552.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__4__14-23-53-551.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 4_Subt2__5__14-23-54-549.txt']"
77,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2,G5,N3 R5,sample 5,"['N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__0__14-20-38-053.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__1__14-20-39-053.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__2__14-20-40-053.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__3__14-20-41-053.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__4__14-20-42-052.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 5_Subt2__5__14-20-43-048.txt']"
78,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2,G6,N3 R5,sample 6,"['N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__0__14-21-15-551.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__1__14-21-16-551.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__2__14-21-17-552.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__3__14-21-18-552.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__4__14-21-19-552.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 6_Subt2__5__14-21-20-552.txt']"
79,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55,G7,N3 R5,sample 7,"['N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__0__13-32-18-613.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__1__13-32-16-618.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__2__13-32-17-618.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__3__13-32-15-618.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__4__13-32-19-618.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 7_Subt2__5__13-32-20-618.txt']"
80,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55,G8,N3 R5,sample 8,"['N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__0__13-33-04-117.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__1__13-33-05-117.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__2__13-33-06-117.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__3__13-33-07-108.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__4__13-33-08-117.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 8_Subt2__5__13-33-09-117.txt']"
81,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55,G9,N3 R5,sample 9,"['N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__0__13-33-41-616.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__1__13-33-42-616.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__2__13-33-43-616.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__3__13-33-44-616.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__4__13-33-45-602.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 9_Subt2__5__13-33-46-614.txt']"
82,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55,G10,N3 R5,sample 10,"['N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__0__13-34-19-615.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__1__13-34-20-615.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__2__13-34-21-615.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__3__13-34-22-615.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__4__13-34-23-614.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 10_Subt2__5__13-34-24-615.txt']"
83,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32,G11,N3 R5,sample 11,"['N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__0__13-34-40-115.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__1__13-34-41-115.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__2__13-34-42-115.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__3__13-34-43-115.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__4__13-34-43-621.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 11_Subt2__5__13-34-44-615.txt']"
84,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32,G12,N3 R5,sample 12,"['N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__0__13-35-15-114.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__1__13-35-16-114.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__2__13-35-17-115.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__3__13-35-18-114.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__4__13-35-19-114.txt', 'N3_New/Data/20250918_N3R5/N3 R5 sample 12_Subt2__5__13-35-20-114.txt']"
