ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
73,40.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G1,N2 R7,sample 1,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__0__15-41-57-561.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__1__15-41-58-563.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__2__15-41-59-560.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__3__15-42-00-552.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__4__15-42-01-553.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 1_Subt2__5__15-42-02-561.txt']"
74,40.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G2,N2 R7,sample 2,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__0__15-42-28-559.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__1__15-42-29-560.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__2__15-42-30-560.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__3__15-42-31-559.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__4__15-42-32-559.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 2_Subt2__5__15-42-33-559.txt']"
75,20.0,125.0,81.52,89.67,128.8,1.0,1.1,1.58,G3,N2 R7,sample 3,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__0__15-24-52-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__1__15-24-53-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__2__15-24-54-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__3__15-24-55-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__4__15-24-56-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 3_Subt2__5__15-24-57-584.txt']"
76,20.0,125.0,81.52,89.67,128.8,1.0,1.1,1.58,G4,N2 R7,sample 4,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__0__15-27-54-080.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__1__15-27-55-080.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__2__15-27-56-080.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__3__15-27-57-080.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__4__15-27-58-079.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 4_Subt2__5__15-27-59-079.txt']"
77,20.0,125.0,83.8,92.18,124.02,1.0,1.1,1.48,G5,N2 R7,sample 5,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__0__15-43-51-057.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__1__15-43-52-058.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__2__15-43-53-058.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__3__15-43-54-057.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__4__15-43-55-058.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 5_Subt2__5__15-43-56-058.txt']"
78,20.0,125.0,83.8,92.18,124.02,1.0,1.1,1.48,G6,N2 R7,sample 6,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__0__15-44-09-557.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__1__15-44-10-558.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__2__15-44-11-557.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__3__15-44-12-557.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__4__15-44-13-560.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 6_Subt2__5__15-44-14-557.txt']"
79,5.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G7,N2 R7,sample 7,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__0__15-23-19-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__1__15-23-20-586.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__2__15-23-21-585.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__3__15-23-22-585.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__4__15-23-23-588.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 7_Subt2__5__15-23-24-586.txt']"
80,5.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G8,N2 R7,sample 8,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__0__15-22-46-592.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__1__15-22-47-588.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__2__15-22-48-587.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__3__15-22-49-584.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__4__15-22-50-585.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 8_Subt2__5__15-22-51-587.txt']"
81,5.0,125.0,82.19,86.3,131.51,1.0,1.05,1.6,G9,N2 R7,sample 9,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__0__15-20-37-590.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__1__15-20-38-591.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__2__15-20-39-588.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__3__15-20-40-590.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__4__15-20-41-594.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 9_Subt2__5__15-20-42-590.txt']"
82,5.0,125.0,82.19,86.3,131.51,1.0,1.05,1.6,G10,N2 R7,sample 10,"['N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__0__15-55-08-542.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__1__15-55-09-542.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__2__15-55-07-542.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__3__15-55-10-542.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__4__15-55-11-544.txt', 'N2_Sep/Data/20250829_N2R7/N2 R7 sample 10_Subt2__5__15-55-12-540.txt']"
