ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
61,60.0,60.0,109.09,52.36,138.55,1.0,0.48,1.27,F1,N2 R6,sample 1,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 1_Subt2__1__14-23-51-669.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 1_Subt2__2__14-23-52-669.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 1_Subt2__3__14-23-53-668.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 1_Subt2__4__14-23-54-668.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 1_Subt2__5__14-23-55-673.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 1_Subt2__0__14-23-50-669.txt']"
62,60.0,60.0,109.09,52.36,138.55,1.0,0.48,1.27,F2,N2 R6,sample 2,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 2_Subt2__1__14-25-28-666.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 2_Subt2__2__14-25-29-666.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 2_Subt2__3__14-25-30-666.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 2_Subt2__4__14-25-31-671.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 2_Subt2__5__14-25-32-666.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 2_Subt2__0__14-25-27-666.txt']"
63,40.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F3,N2 R6,sample 3,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 3_Subt2__1__14-05-31-194.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 3_Subt2__2__14-05-32-194.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 3_Subt2__3__14-05-33-194.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 3_Subt2__4__14-05-34-194.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 3_Subt2__5__14-05-35-194.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 3_Subt2__0__14-05-30-194.txt']"
64,40.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F4,N2 R6,sample 4,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 4_Subt2__1__14-06-10-193.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 4_Subt2__2__14-06-11-193.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 4_Subt2__3__14-06-12-193.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 4_Subt2__4__14-06-13-196.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 4_Subt2__5__14-06-14-193.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 4_Subt2__0__14-06-09-193.txt']"
65,25.0,60.0,101.01,72.73,126.26,1.0,0.72,1.25,F5,N2 R6,sample 5,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 5_Subt2__1__13-51-09-214.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 5_Subt2__2__13-51-10-214.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 5_Subt2__3__13-51-11-214.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 5_Subt2__4__13-51-12-213.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 5_Subt2__5__13-51-13-214.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 5_Subt2__0__13-51-08-214.txt']"
66,25.0,60.0,101.01,72.73,126.26,1.0,0.72,1.25,F6,N2 R6,sample 6,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 6_Subt2__1__13-51-46-716.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 6_Subt2__2__13-51-47-713.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 6_Subt2__3__13-51-48-713.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 6_Subt2__4__13-51-49-715.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 6_Subt2__5__13-51-50-713.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 6_Subt2__0__13-51-45-713.txt']"
67,10.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F7,N2 R6,sample 7,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 7_Subt2__1__13-54-38-709.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 7_Subt2__2__13-54-39-703.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 7_Subt2__3__13-54-40-703.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 7_Subt2__4__13-54-41-712.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 7_Subt2__5__13-54-42-709.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 7_Subt2__0__13-54-37-709.txt']"
68,10.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F8,N2 R6,sample 8,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 8_Subt2__1__13-53-37-210.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 8_Subt2__2__13-53-38-210.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 8_Subt2__3__13-53-39-211.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 8_Subt2__4__13-53-40-210.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 8_Subt2__5__13-53-41-210.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 8_Subt2__0__13-53-36-211.txt']"
69,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,F9,N2 R6,sample 9,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 9_Subt2__1__13-32-53-242.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 9_Subt2__2__13-32-54-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 9_Subt2__3__13-32-55-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 9_Subt2__4__13-32-56-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 9_Subt2__5__13-32-57-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 9_Subt2__0__13-32-52-245.txt']"
70,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,F10,N2 R6,sample 10,"['N2_Sep/Data/20250829_N2R6/N2 R5 sample 10_Subt2__1__13-33-14-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 10_Subt2__2__13-33-15-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 10_Subt2__3__13-33-16-238.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 10_Subt2__4__13-33-17-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R5 sample 10_Subt2__5__13-33-18-239.txt', 'N2_Sep/Data/20250829_N2R6/N2 R6 sample 10_Subt2__0__13-33-13-240.txt']"
