ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
25,25.0,70.0,78.33,92.43,129.24,1.0,1.18,1.65,C1,N2 R14,sample 1,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__0__14-26-35-583.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__1__14-26-36-586.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__2__14-26-37-586.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__3__14-26-38-586.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__4__14-26-39-582.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 1_Subt2__5__14-26-40-586.txt']"
26,25.0,70.0,78.33,92.43,129.24,1.0,1.18,1.65,C2,N2 R14,sample 2,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__0__14-27-18-585.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__1__14-27-19-585.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__2__14-27-20-585.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__3__14-27-21-585.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__4__14-27-22-585.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 2_Subt2__5__14-27-23-585.txt']"
27,20.0,70.0,75.0,101.25,123.75,1.0,1.35,1.65,C3,N2 R14,sample 3,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__0__14-28-00-584.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__1__14-28-01-583.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__2__14-28-02-587.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__3__14-28-03-584.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__4__14-28-04-577.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 3_Subt2__5__14-28-05-583.txt']"
28,20.0,70.0,75.0,101.25,123.75,1.0,1.35,1.65,C4,N2 R14,sample 4,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__0__14-28-36-584.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__1__14-28-37-577.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__2__14-28-38-583.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__3__14-28-39-583.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__4__14-28-40-577.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 4_Subt2__5__14-28-41-577.txt']"
29,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62,C5,N2 R14,sample 5,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__0__14-23-46-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__1__14-23-47-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__2__14-23-48-087.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__3__14-23-49-090.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__4__14-23-50-088.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 5_Subt2__5__14-23-51-086.txt']"
30,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62,C6,N2 R14,sample 6,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__0__14-25-12-089.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__1__14-25-11-085.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__2__14-25-10-088.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__3__14-25-13-089.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__4__14-25-14-087.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 6_Subt2__5__14-25-15-085.txt']"
31,20.0,70.0,75.57,114.86,109.57,1.0,1.52,1.45,C7,N2 R14,sample 7,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__0__14-23-03-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__1__14-23-04-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__2__14-23-05-092.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__3__14-23-06-090.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__4__14-23-07-090.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 7_Subt2__5__14-23-08-091.txt']"
32,20.0,70.0,75.57,114.86,109.57,1.0,1.52,1.45,C8,N2 R14,sample 8,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__0__14-22-42-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__1__14-22-43-092.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__2__14-22-44-089.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__3__14-22-45-091.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__4__14-22-46-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 8_Subt2__5__14-22-47-091.txt']"
33,15.0,70.0,78.95,104.21,116.84,1.0,1.32,1.48,C9,N2 R14,sample 9,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__0__14-18-50-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__1__14-18-51-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__2__14-18-52-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__3__14-18-53-097.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__4__14-18-54-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 9_Subt2__5__14-18-55-096.txt']"
34,15.0,70.0,78.95,104.21,116.84,1.0,1.32,1.48,C10,N2 R14,sample 10,"['N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__0__14-19-13-085.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__1__14-19-14-083.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__2__14-19-15-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__3__14-19-16-096.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__4__14-19-17-099.txt', 'N2_Sep/Data/20250902_N2R14/N2 R14 sample 10_Subt2__5__14-19-18-083.txt']"
