ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,Data Tag,Sample Tag,Dataset
1,A1,5.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 1,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__0__11-56-04-958.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__1__11-56-05-945.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__2__11-56-06-958.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__3__11-56-07-959.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__4__11-56-08-945.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__5__11-56-09-958.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample1_Subt2__6__11-56-10-958.txt']"
2,A2,5.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 2,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__0__11-55-35-759.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__1__11-55-36-760.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__2__11-55-37-759.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__3__11-55-38-759.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__4__11-55-39-759.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__5__11-55-40-759.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample2_Subt2__6__11-55-41-758.txt']"
3,A3,5.0,105,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 105C,sample 3,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__0__11-49-11-668.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__1__11-49-12-668.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__2__11-49-13-668.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__3__11-49-14-668.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__4__11-49-15-668.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__5__11-49-16-660.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample3_Subt2__6__11-49-17-668.txt']"
4,A4,5.0,105,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 105C,sample 4,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__0__11-48-45-169.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__1__11-48-46-169.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__2__11-48-47-169.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__3__11-48-48-169.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__4__11-48-49-168.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__5__11-48-50-169.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample4_Subt2__6__11-48-51-169.txt']"
5,A5,30.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 5,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__0__12-14-13-033.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__1__12-14-14-034.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__2__12-14-15-034.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__3__12-14-16-033.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__4__12-14-17-033.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__5__12-14-18-034.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample5_Subt2__6__12-14-19-033.txt']"
6,A6,30.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 6,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__0__12-16-29-031.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__1__12-16-30-031.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__2__12-16-31-030.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__3__12-16-32-030.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__4__12-16-33-031.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__5__12-16-34-030.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample6_Subt2__6__12-16-35-030.txt']"
7,A7,30.0,105,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 105C,sample 7,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__0__12-23-09-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__1__12-23-10-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__2__12-23-11-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__3__12-23-12-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__4__12-23-13-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__5__12-23-14-721.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample7_Subt2__6__12-23-15-721.txt']"
8,A8,30.0,105,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 105C,sample 8,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__0__12-21-29-223.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__1__12-21-30-223.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__2__12-21-31-224.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__3__12-21-32-223.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__4__12-21-33-223.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__5__12-21-34-213.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample8_Subt2__6__12-21-35-224.txt']"
9,A9,60.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 9,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__0__12-50-17-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__11__12-50-21-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__12__12-50-22-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__13__12-50-23-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__1__12-50-18-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__2__12-50-19-184.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample9_Subt2__3__12-50-20-184.txt']"
10,A10,60.0,105,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 105C,sample 10,"['N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__0__12-53-49-179.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__1__12-53-50-166.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__2__12-53-51-166.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__3__12-53-52-179.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__4__12-53-53-179.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__5__12-53-54-179.txt', 'N2_Sep/Data/20250819_N2N4/105C/N2 R0 105C sample10_Subt2__6__12-53-55-166.txt']"
