ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well,Data Tag,Sample Tag,Dataset
1,30.0,85.0,76.34,95.42,128.24,1.0,1.25,1.68,A1,N2 R12,sample 1,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__0__16-04-13-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__1__16-04-14-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__2__16-04-15-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__3__16-04-16-035.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__4__16-04-17-036.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 1_Subt2__5__16-04-18-035.txt']"
2,30.0,85.0,76.34,95.42,128.24,1.0,1.25,1.68,A2,N2 R12,sample 2,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__0__16-05-58-031.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__1__16-05-59-021.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__2__16-06-00-033.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__3__16-06-01-032.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__4__16-06-02-032.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 2_Subt2__5__16-06-03-022.txt']"
3,30.0,85.0,76.53,99.49,123.98,1.0,1.3,1.62,A3,N2 R12,sample 3,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__0__16-06-11-521.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__1__16-06-12-532.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__2__16-06-13-531.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__3__16-06-14-531.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__4__16-06-15-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 3_Subt2__5__16-06-16-531.txt']"
4,30.0,85.0,76.53,99.49,123.98,1.0,1.3,1.62,A4,N2 R12,sample 4,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__0__16-06-29-522.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__1__16-06-30-531.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__2__16-06-31-522.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__3__16-06-32-519.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__4__16-06-33-518.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 4_Subt2__5__16-06-34-518.txt']"
5,25.0,85.0,75.95,93.42,130.63,1.0,1.23,1.72,A5,N2 R12,sample 5,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__0__16-01-00-038.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__1__16-01-01-038.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__2__16-01-02-039.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__3__16-01-03-039.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__4__16-01-04-035.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 5_Subt2__5__16-01-05-038.txt']"
6,25.0,85.0,75.95,93.42,130.63,1.0,1.23,1.72,A6,N2 R12,sample 6,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__0__16-01-22-038.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__1__16-01-23-038.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__2__16-01-24-034.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__3__16-01-25-034.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__4__16-01-26-038.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 6_Subt2__5__16-01-27-037.txt']"
7,25.0,85.0,74.63,105.97,119.4,1.0,1.42,1.6,A7,N2 R12,sample 7,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__0__16-01-55-537.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__1__16-01-56-537.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__2__16-01-57-535.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__3__16-01-58-530.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__4__16-01-59-530.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 7_Subt2__5__16-02-00-537.txt']"
8,25.0,85.0,74.63,105.97,119.4,1.0,1.42,1.6,A8,N2 R12,sample 8,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__0__16-02-32-530.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__1__16-02-33-536.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__2__16-02-34-536.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__3__16-02-35-536.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__4__16-02-36-539.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 8_Subt2__5__16-02-37-536.txt']"
9,25.0,85.0,78.33,96.34,125.33,1.0,1.23,1.6,A9,N2 R12,sample 9,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__0__16-03-34-036.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__1__16-03-33-028.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__2__16-03-35-035.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__3__16-03-36-036.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__4__16-03-37-033.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 9_Subt2__5__16-03-38-035.txt']"
10,25.0,85.0,78.33,96.34,125.33,1.0,1.23,1.6,A10,N2 R12,sample 10,"['N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__0__16-03-59-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__1__16-03-54-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__2__16-03-56-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__3__16-03-57-534.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__4__16-03-58-537.txt', 'N2_Sep/Data/20250901_N2R12/N2 R11 sample 10_Subt2__5__16-03-55-535.txt']"
