ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,Data Tag,Sample Tag,Dataset
1,A1,5.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 1,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__0__12-59-49-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__1__12-59-50-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__2__12-59-51-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__3__12-59-52-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__4__12-59-53-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__5__12-59-54-171.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample1_Subt2__6__12-59-55-171.txt']"
2,A2,5.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 2,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__0__13-00-25-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__1__13-00-26-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__2__13-00-27-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__3__13-00-28-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__4__13-00-29-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__5__13-00-30-670.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample2_Subt2__6__13-00-31-670.txt']"
3,A3,5.0,150,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 150C,sample 3,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__0__13-01-30-168extra.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__0__13-05-44-162.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__1__13-05-45-162.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__2__13-05-46-162.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__3__13-05-47-163.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__4__13-05-48-162.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__5__13-05-49-162.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample3_Subt2__6__13-05-50-162.txt']"
4,A4,5.0,150,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 150C,sample 4,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__0__13-04-24-664.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__1__13-04-25-664.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__2__13-04-26-658.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__3__13-04-27-664.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__4__13-04-28-664.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__5__13-04-29-664.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample4_Subt2__6__13-04-30-658.txt']"
5,A5,30.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 5,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__0__13-20-15-643.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__1__13-20-16-643.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__2__13-20-17-642.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__3__13-20-18-643.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__4__13-20-19-642.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__5__13-20-20-643.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample5_Subt2__6__13-20-21-642.txt']"
6,A6,30.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 6,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__0__13-22-35-140.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__1__13-22-36-140.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__2__13-22-37-139.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__3__13-22-38-139.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__4__13-22-39-139.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__5__13-22-40-139.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample6_Subt2__6__13-22-41-139.txt']"
7,A7,30.0,150,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 150C,sample 7,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__0__13-26-10-135.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__1__13-26-11-134.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__2__13-26-12-135.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__3__13-26-13-134.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__4__13-26-14-120.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__5__13-26-15-134.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample7_Subt2__6__13-26-16-134.txt']"
8,A8,30.0,150,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 150C,sample 8,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__0__13-27-47-133.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__1__13-27-48-132.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__2__13-27-49-132.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__3__13-27-50-132.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__4__13-27-51-132.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__5__13-27-52-132.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample8_Subt2__6__13-27-53-131.txt']"
9,A9,60.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 9,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__0__13-51-37-100.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__1__13-51-38-100.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__2__13-51-39-099.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__3__13-51-40-100.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__4__13-51-41-099.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__5__13-51-42-100.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample9_Subt2__6__13-51-43-099.txt']"
10,A10,60.0,150,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 150C,sample 10,"['N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__0__13-50-17-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__1__13-50-18-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__2__13-50-19-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__3__13-50-20-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__4__13-50-21-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__5__13-50-22-101.txt', 'N2_Sep/Data/20250819_N2N4/150C/N2 R0 150C sample10_Subt2__6__13-50-23-101.txt']"
