ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,Data Tag,Sample Tag,Dataset
1,A1,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 1,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__0__11-05-34-244.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__1__11-05-35-229.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__2__11-05-36-229.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__3__11-05-37-229.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__4__11-05-38-229.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__5__11-05-39-229.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample1_Subt2__6__11-05-40-228.txt']"
2,A2,5.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 2,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__0__11-10-48-721.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__1__11-10-49-721.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__2__11-10-50-707.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__3__11-10-51-721.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__4__11-10-52-721.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__5__11-10-53-720.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample2_Subt2__6__11-10-54-720.txt']"
3,A3,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 60C,sample 3,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__0__11-40-20-681.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__1__11-40-21-680.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__2__11-40-22-681.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__3__11-40-23-680.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__4__11-40-24-680.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__5__11-40-25-680.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample3_Subt2__6__11-40-26-680.txt']"
4,A4,5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 60C,sample 4,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__0__11-41-04-180.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__1__11-41-05-180.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__2__11-41-06-179.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__3__11-41-07-179.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__4__11-41-08-180.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__5__11-41-09-179.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample4_Subt2__6__11-41-10-180.txt']"
5,A5,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 5,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__0__11-42-23-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__1__11-42-24-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__2__11-42-25-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__3__11-42-26-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__4__11-42-27-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__5__11-42-28-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample5_Subt2__6__11-42-29-679.txt']"
6,A6,30.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 6,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__0__11-42-44-678.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__1__11-42-45-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__2__11-42-46-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__3__11-42-47-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__4__11-42-48-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__5__11-42-49-677.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample6_Subt2__6__11-42-50-677.txt']"
7,A7,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 60C,sample 7,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__0__11-45-01-174.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__1__11-45-02-174.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__2__11-45-03-171.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__3__11-45-04-174.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__4__11-45-05-174.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__5__11-45-06-174.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample7_Subt2__6__11-45-07-174.txt']"
8,A8,30.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,N2 R0 60C,sample 8,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__0__11-44-13-175.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__1__11-44-14-175.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__2__11-44-15-173.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__3__11-44-16-175.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__4__11-44-17-175.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__5__11-44-18-175.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample8_Subt2__6__11-44-19-175.txt']"
9,A9,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 9,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__0__11-32-51-191.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__1__11-32-52-191.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__2__11-32-53-191.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__3__11-32-54-191.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__4__11-32-55-184.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__5__11-32-56-184.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample9_Subt2__6__11-32-57-183.txt']"
10,A10,60.0,60.0,109.1,54.5,136.4,1.0,0.5,1.25,N2 R0 60C,sample 10,"['N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__0__11-33-33-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__1__11-33-34-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__2__11-33-35-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__3__11-33-36-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__4__11-33-37-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__5__11-33-38-190.txt', 'N2_Sep/Data/20250819_N2N4/60C/N2 R0 60C sample10_Subt2__6__11-33-39-190.txt']"
