ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
66,F6,20.0,70.0,80.21,89.84,129.95,1.0,1.12,1.62
67,F7,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
68,F8,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6
69,F9,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58
70,F10,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58
71,F11,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52
72,F12,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52
85,H1,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6
86,H2,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6
87,H3,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55
88,H4,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55
89,H5,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52
90,H6,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52
91,H7,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48
92,H8,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48
93,H9,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42
94,H10,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42
95,H11,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45
96,H12,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45
1,A1,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7
2,A2,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7
3,A3,25.0,65.0,79.37,95.24,125.4,1.0,1.2,1.58
4,A4,25.0,65.0,79.37,95.24,125.4,1.0,1.2,1.58
5,A5,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58
6,A6,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58
7,A7,20.0,65.0,80.43,94.91,124.66,1.0,1.18,1.55
8,A8,20.0,65.0,80.43,94.91,124.66,1.0,1.18,1.55
9,A9,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45
10,A10,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45
11,A11,10.0,65.0,85.23,93.75,121.02,1.0,1.1,1.42
12,A12,10.0,65.0,85.23,93.75,121.02,1.0,1.1,1.42
13,B1,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65
14,B2,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65
15,B3,25.0,60.0,75.0,105.0,120.0,1.0,1.4,1.6
16,B4,25.0,60.0,75.0,105.0,120.0,1.0,1.4,1.6
17,B5,20.0,60.0,80.0,92.0,128.0,1.0,1.15,1.6
18,B6,20.0,60.0,80.0,92.0,128.0,1.0,1.15,1.6
19,B7,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55
20,B8,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55
21,B9,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52
22,B10,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52
23,B11,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45
24,B12,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45
25,C1,25.0,70.0,78.33,92.43,129.24,1.0,1.18,1.65
26,C2,25.0,70.0,78.33,92.43,129.24,1.0,1.18,1.65
27,C3,20.0,70.0,75.0,101.25,123.75,1.0,1.35,1.65
28,C4,20.0,70.0,75.0,101.25,123.75,1.0,1.35,1.65
29,C5,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
30,C6,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62
31,C7,20.0,70.0,75.57,114.86,109.57,1.0,1.52,1.45
32,C8,20.0,70.0,75.57,114.86,109.57,1.0,1.52,1.45
33,C9,15.0,70.0,78.95,104.21,116.84,1.0,1.32,1.48
34,C10,15.0,70.0,78.95,104.21,116.84,1.0,1.32,1.48
35,C11,15.0,70.0,77.92,109.09,112.99,1.0,1.4,1.45
36,C12,15.0,70.0,77.92,109.09,112.99,1.0,1.4,1.45
37,D1,25.0,70.0,73.17,102.44,124.39,1.0,1.4,1.7
38,D2,25.0,70.0,73.17,102.44,124.39,1.0,1.4,1.7
39,D3,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
40,D4,25.0,70.0,75.76,104.55,119.7,1.0,1.38,1.58
41,D5,10.0,70.0,77.52,104.65,117.83,1.0,1.35,1.52
42,D6,10.0,70.0,77.52,104.65,117.83,1.0,1.35,1.52
43,D7,10.0,70.0,79.58,107.43,113.0,1.0,1.35,1.42
44,D8,10.0,70.0,79.58,107.43,113.0,1.0,1.35,1.42
45,D9,10.0,70.0,80.43,110.99,108.58,1.0,1.38,1.35
46,D10,10.0,70.0,80.43,110.99,108.58,1.0,1.38,1.35
47,D11,5.0,70.0,79.58,105.04,115.38,1.0,1.32,1.45
48,D12,5.0,70.0,79.58,105.04,115.38,1.0,1.32,1.45
49,E1,25.0,75.0,76.34,105.34,118.32,1.0,1.38,1.55
50,E2,25.0,75.0,76.34,105.34,118.32,1.0,1.38,1.55
51,E3,20.0,75.0,77.92,105.19,116.88,1.0,1.35,1.5
52,E4,20.0,75.0,77.92,105.19,116.88,1.0,1.35,1.5
53,E5,20.0,75.0,80.65,106.45,112.9,1.0,1.32,1.4
54,E6,20.0,75.0,80.65,106.45,112.9,1.0,1.32,1.4
55,E7,10.0,75.0,74.26,112.87,112.87,1.0,1.52,1.52
56,E8,10.0,75.0,74.26,112.87,112.87,1.0,1.52,1.52
57,E9,5.0,75.0,75.0,108.75,116.25,1.0,1.45,1.55
58,E10,5.0,75.0,75.0,108.75,116.25,1.0,1.45,1.55
59,E11,5.0,75.0,81.52,97.83,120.65,1.0,1.2,1.48
60,E12,5.0,75.0,81.52,97.83,120.65,1.0,1.2,1.48
1,A1,60.0,60.0,91.74,77.98,130.28,1.0,0.85,1.42
2,A2,60.0,60.0,91.74,77.98,130.28,1.0,0.85,1.42
3,A3,45.0,60.0,86.71,76.3,136.99,1.0,0.88,1.58
