ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
25,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5,C1
26,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5,C2
27,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68,C3
28,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68,C4
29,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42,C5
30,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42,C6
31,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3,C7
32,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3,C8
33,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17,C9
34,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17,C10
35,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3,C11
36,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3,C12
