ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
13,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,B1
14,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5,B2
15,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,B3
16,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5,B4
17,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,B5
18,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5,B6
19,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,B7
20,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5,B8
21,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,B9
22,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4,B10
23,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3,B11
24,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3,B12
