ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
4,F4,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
5,F5,60.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,60.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
10,F10,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
11,F11,60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
13,F13,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
14,F14,30.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
15,F15,30.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
16,F16,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
17,F17,30.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
18,F18,30.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
19,F19,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
20,F20,30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
21,F21,30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
22,F22,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
23,F23,30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
24,F24,30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
25,F25,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
26,F26,5.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
27,F27,5.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
28,F28,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
29,F29,5.0,105.0,60.0,120.0,120.0,1.0,2.0,2.0
30,F30,5.0,150.0,60.0,120.0,120.0,1.0,2.0,2.0
31,F31,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
32,F32,5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
33,F33,5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
34,F34,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
35,F35,5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325
36,F36,5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325
