ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,Data Tag,Sample Tag,Dataset
1,F1,60.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 1,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__0__14-45-48-548.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__1__14-45-49-548.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__2__14-45-50-548.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__3__14-45-51-540.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__4__14-45-52-548.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 1_Subt2__5__14-45-53-548.txt']"
2,F2,60.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 2,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__0__14-46-38-546.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__1__14-46-39-547.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__2__14-46-40-547.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__3__14-46-41-548.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__4__14-46-42-547.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 2_Subt2__5__14-46-43-547.txt']"
3,F3,60.0,150,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 150C,sample 3,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__0__14-47-02-040.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__1__14-47-03-039.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__2__14-47-03-551.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__3__14-47-04-560.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__4__14-47-05-546.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 3_Subt2__5__14-47-06-546.txt']"
4,F4,60.0,150,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 150C,sample 4,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__0__14-47-25-046.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__1__14-47-26-046.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__2__14-47-27-046.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__3__14-47-28-046.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__4__14-47-29-046.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 4_Subt2__5__14-47-30-046.txt']"
5,F5,30.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 5,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__0__14-19-48-084.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__1__14-19-49-083.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__2__14-19-50-083.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__3__14-19-51-083.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__4__14-19-52-083.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 5_Subt2__5__14-19-53-083.txt']"
6,F6,30.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 6,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__0__14-20-45-582.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__1__14-20-46-582.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__2__14-20-47-582.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__3__14-20-48-582.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__4__14-20-49-584.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 6_Subt2__5__14-20-50-582.txt']"
7,F7,30.0,150,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 150C,sample 7,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__0__14-23-09-578.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__1__14-23-10-579.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__2__14-23-11-580.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__3__14-23-12-579.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__4__14-23-13-579.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 7_Subt2__5__14-23-14-579.txt']"
8,F8,30.0,150,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 150C,sample 8,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__0__14-22-37-580.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__1__14-22-38-580.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__2__14-22-39-580.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__3__14-22-40-576.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__4__14-22-41-579.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 8_Subt2__5__14-22-42-579.txt']"
9,F9,5.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 9,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__0__13-55-46-616.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__1__13-55-47-616.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__2__13-55-48-616.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__3__13-55-49-615.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__4__13-55-50-616.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 9_Subt2__5__13-55-51-614.txt']"
10,F10,5.0,150,60.0,120.0,120.0,1.0,2.0,2.0,N1 R0 150C,sample 10,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__0__13-56-37-614.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__1__13-56-38-615.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__2__13-56-39-615.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__3__13-56-40-612.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__4__13-56-41-612.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 10_Subt2__5__13-56-42-615.txt']"
11,F11,5.0,150,100.0,67.5,132.5,1.0,0.675,1.325,N1 R0 150C,sample 11,"['N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__0__13-57-07-113.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__1__13-57-08-110.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__2__13-57-09-110.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__3__13-57-10-114.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__4__13-57-11-114.txt', 'N1_Sep/Data/20250916_N1N3_150C/N1R0 150C sample 11_Subt2__5__13-57-12-110.txt']"
