ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
25,C1,60.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
26,C2,60.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
27,C3,35.0,150.0,86.21,75.86,137.93,1.0,0.88,1.6
28,C4,35.0,150.0,86.21,75.86,137.93,1.0,0.88,1.6
29,C5,5.0,150.0,93.17,57.76,149.07,1.0,0.62,1.6
30,C6,5.0,150.0,93.17,57.76,149.07,1.0,0.62,1.6
31,C7,5.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
32,C8,5.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
33,C9,5.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45
34,C10,5.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45
35,C11,5.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
36,C12,5.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
37,D1,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6
38,D2,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6
39,D3,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
40,D4,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
41,D5,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5
42,D6,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5
43,D7,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45
44,D8,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45
45,D9,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2
46,D10,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2
47,D11,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2
48,D12,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2
49,E1,30.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
50,E2,30.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
51,E3,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
52,E4,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
53,E5,5.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
54,E6,5.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
55,E7,5.0,150.0,89.82,73.65,136.53,1.0,0.82,1.52
56,E8,5.0,150.0,89.82,73.65,136.53,1.0,0.82,1.52
57,E9,5.0,150.0,92.59,75.93,131.48,1.0,0.82,1.42
58,E10,5.0,150.0,92.59,75.93,131.48,1.0,0.82,1.42
59,E11,5.0,150.0,96.15,81.73,122.12,1.0,0.85,1.27
60,E12,5.0,150.0,96.15,81.73,122.12,1.0,0.85,1.27
61,F1,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48
62,F2,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48
63,F3,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6
64,F4,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6
65,F5,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6
66,F6,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6
67,F7,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6
68,F8,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6
69,F9,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58
70,F10,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58
71,F11,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48
72,F12,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48
25,C1,60.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
26,C2,60.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
27,C3,35.0,150.0,86.21,75.86,137.93,1.0,0.88,1.6
28,C4,35.0,150.0,86.21,75.86,137.93,1.0,0.88,1.6
29,C5,5.0,150.0,93.17,57.76,149.07,1.0,0.62,1.6
30,C6,5.0,150.0,93.17,57.76,149.07,1.0,0.62,1.6
31,C7,5.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
32,C8,5.0,150.0,100.0,40.0,160.0,1.0,0.4,1.6
33,C9,5.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45
34,C10,5.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45
35,C11,5.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
36,C12,5.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
37,D1,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6
38,D2,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6
39,D3,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
40,D4,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
41,D5,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5
42,D6,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5
43,D7,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45
44,D8,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45
45,D9,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2
46,D10,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2
47,D11,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2
48,D12,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2
49,E1,30.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
50,E2,30.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
51,E3,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
52,E4,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6
53,E5,5.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
54,E6,5.0,150.0,89.55,67.16,143.28,1.0,0.75,1.6
55,E7,5.0,150.0,89.82,73.65,136.53,1.0,0.82,1.52
56,E8,5.0,150.0,89.82,73.65,136.53,1.0,0.82,1.52
57,E9,5.0,150.0,92.59,75.93,131.48,1.0,0.82,1.42
58,E10,5.0,150.0,92.59,75.93,131.48,1.0,0.82,1.42
59,E11,5.0,150.0,96.15,81.73,122.12,1.0,0.85,1.27
60,E12,5.0,150.0,96.15,81.73,122.12,1.0,0.85,1.27
61,F1,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48
62,F2,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48
63,F3,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6
64,F4,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6
65,F5,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6
66,F6,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6
67,F7,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6
68,F8,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6
69,F9,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58
70,F10,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58
71,F11,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48
72,F12,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48
73,G1,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
74,G2,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
75,G3,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
76,G4,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
77,G5,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2
78,G6,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2
79,G7,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55
80,G8,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55
81,G9,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55
82,G10,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55
83,G11,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32
84,G12,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32
73,G1,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
74,G2,60.0,150.0,90.91,100.0,109.09,1.0,1.1,1.2
75,G3,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
76,G4,60.0,150.0,95.24,90.48,114.29,1.0,0.95,1.2
77,G5,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2
78,G6,55.0,150.0,91.46,98.78,109.76,1.0,1.08,1.2
79,G7,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55
80,G8,5.0,150.0,90.09,70.27,139.64,1.0,0.78,1.55
81,G9,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55
82,G10,5.0,150.0,90.91,68.18,140.91,1.0,0.75,1.55
83,G11,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32
84,G12,5.0,150.0,96.77,75.48,127.74,1.0,0.78,1.32
85,H1,60.0,150.0,109.09,43.64,147.27,1.0,0.4,1.35
