ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,25.0,75.0,76.34,105.34,118.32,1.0,1.38,1.55,E1
50,25.0,75.0,76.34,105.34,118.32,1.0,1.38,1.55,E2
51,20.0,75.0,77.92,105.19,116.88,1.0,1.35,1.5,E3
52,20.0,75.0,77.92,105.19,116.88,1.0,1.35,1.5,E4
53,20.0,75.0,80.65,106.45,112.9,1.0,1.32,1.4,E5
54,20.0,75.0,80.65,106.45,112.9,1.0,1.32,1.4,E6
55,10.0,75.0,74.26,112.87,112.87,1.0,1.52,1.52,E7
56,10.0,75.0,74.26,112.87,112.87,1.0,1.52,1.52,E8
57,5.0,75.0,75.0,108.75,116.25,1.0,1.45,1.55,E9
58,5.0,75.0,75.0,108.75,116.25,1.0,1.45,1.55,E10
59,5.0,75.0,81.52,97.83,120.65,1.0,1.2,1.48,E11
60,5.0,75.0,81.52,97.83,120.65,1.0,1.2,1.48,E12
