ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55,E1
50,50.0,60.0,83.33,87.5,129.17,1.0,1.05,1.55,E2
51,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58,E3
52,20.0,60.0,81.52,89.67,128.8,1.0,1.1,1.58,E4
53,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52,E5
54,20.0,60.0,82.87,91.16,125.97,1.0,1.1,1.52,E6
55,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,E7
56,20.0,60.0,84.03,88.24,127.73,1.0,1.05,1.52,E8
57,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52,E9
58,20.0,60.0,86.46,82.13,131.41,1.0,0.95,1.52,E10
59,20.0,60.0,85.71,85.71,128.57,1.0,1.0,1.5,E11
60,20.0,60.0,85.71,85.71,128.57,1.0,1.0,1.5,E12
