ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,60.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6,E1
50,60.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6,E2
51,60.0,120.0,84.51,84.51,130.99,1.0,1.0,1.55,E3
52,60.0,120.0,84.51,84.51,130.99,1.0,1.0,1.55,E4
53,40.0,120.0,81.52,89.67,128.8,1.0,1.1,1.58,E5
54,40.0,120.0,81.52,89.67,128.8,1.0,1.1,1.58,E6
55,5.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6,E7
56,5.0,120.0,81.08,89.19,129.73,1.0,1.1,1.6,E8
57,5.0,120.0,84.03,85.71,130.25,1.0,1.02,1.55,E9
58,5.0,120.0,84.03,85.71,130.25,1.0,1.02,1.55,E10
59,5.0,120.0,85.23,85.23,129.55,1.0,1.0,1.52,E11
60,5.0,120.0,85.23,85.23,129.55,1.0,1.0,1.52,E12
