ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
85,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6,H1
86,25.0,70.0,78.95,94.74,126.32,1.0,1.2,1.6,H2
87,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55,H3
88,20.0,70.0,80.43,94.91,124.66,1.0,1.18,1.55,H4
89,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52,H5
90,20.0,70.0,82.42,92.31,125.27,1.0,1.12,1.52,H6
91,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48,H7
92,20.0,70.0,83.33,93.33,123.33,1.0,1.12,1.48,H8
93,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42,H9
94,15.0,70.0,84.03,96.64,119.33,1.0,1.15,1.42,H10
95,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45,H11
96,10.0,70.0,80.65,102.42,116.94,1.0,1.27,1.45,H12
