ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
1,60.0,60.0,91.74,77.98,130.28,1.0,0.85,1.42,A1
2,60.0,60.0,91.74,77.98,130.28,1.0,0.85,1.42,A2
3,45.0,60.0,86.71,76.3,136.99,1.0,0.88,1.58,A3
4,45.0,60.0,86.71,76.3,136.99,1.0,0.88,1.58,A4
5,40.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42,A5
6,40.0,60.0,85.23,93.75,121.02,1.0,1.1,1.42,A6
7,35.0,60.0,81.97,88.52,129.51,1.0,1.08,1.58,A7
8,35.0,60.0,81.97,88.52,129.51,1.0,1.08,1.58,A8
9,35.0,60.0,89.02,81.9,129.08,1.0,0.92,1.45,A9
10,35.0,60.0,89.02,81.9,129.08,1.0,0.92,1.45,A10
11,5.0,60.0,86.96,73.91,139.13,1.0,0.85,1.6,A11
12,5.0,60.0,86.96,73.91,139.13,1.0,0.85,1.6,A12
