ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
1,30.0,85.0,76.34,95.42,128.24,1.0,1.25,1.68,A1
2,30.0,85.0,76.34,95.42,128.24,1.0,1.25,1.68,A2
3,30.0,85.0,76.53,99.49,123.98,1.0,1.3,1.62,A3
4,30.0,85.0,76.53,99.49,123.98,1.0,1.3,1.62,A4
5,25.0,85.0,75.95,93.42,130.63,1.0,1.23,1.72,A5
6,25.0,85.0,75.95,93.42,130.63,1.0,1.23,1.72,A6
7,25.0,85.0,74.63,105.97,119.4,1.0,1.42,1.6,A7
8,25.0,85.0,74.63,105.97,119.4,1.0,1.42,1.6,A8
9,25.0,85.0,78.33,96.34,125.33,1.0,1.23,1.6,A9
10,25.0,85.0,78.33,96.34,125.33,1.0,1.23,1.6,A10
11,10.0,85.0,78.33,108.09,113.58,1.0,1.38,1.45,A11
12,10.0,85.0,78.33,108.09,113.58,1.0,1.38,1.45,A12
