ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
1,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7,A1
2,25.0,65.0,77.32,91.24,131.44,1.0,1.18,1.7,A2
3,25.0,65.0,79.79,94.15,126.06,1.0,1.18,1.58,A3
4,25.0,65.0,79.79,94.15,126.06,1.0,1.18,1.58,A4
5,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58,A5
6,20.0,65.0,81.08,90.81,128.11,1.0,1.12,1.58,A6
7,20.0,65.0,81.08,93.24,125.68,1.0,1.15,1.55,A7
8,20.0,65.0,81.08,93.24,125.68,1.0,1.15,1.55,A8
9,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45,A9
10,10.0,65.0,80.0,104.0,116.0,1.0,1.3,1.45,A10
11,5.0,65.0,80.65,102.42,116.94,1.0,1.27,1.45,A11
12,5.0,65.0,80.65,102.42,116.94,1.0,1.27,1.45,A12
