ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
85,60.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45,H1
86,60.0,150.0,105.26,42.11,152.63,1.0,0.4,1.45,H2
87,60.0,150.0,108.3,45.49,146.21,1.0,0.42,1.35,H3
88,60.0,150.0,108.3,45.49,146.21,1.0,0.42,1.35,H4
89,60.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2,H5
90,60.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2,H6
91,45.0,150.0,101.69,40.68,157.63,1.0,0.4,1.55,H7
92,45.0,150.0,101.69,40.68,157.63,1.0,0.4,1.55,H8
93,40.0,150.0,111.11,55.56,133.33,1.0,0.5,1.2,H9
94,40.0,150.0,111.11,55.56,133.33,1.0,0.5,1.2,H10
95,25.0,150.0,114.5,48.09,137.4,1.0,0.42,1.2,H11
96,25.0,150.0,114.5,48.09,137.4,1.0,0.42,1.2,H12
