ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
25,35.0,60.0,81.52,88.04,130.43,1.0,1.08,1.6,C1
26,35.0,60.0,81.52,88.04,130.43,1.0,1.08,1.6,C2
27,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,C3
28,35.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,C4
29,35.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,C5
30,35.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,C6
31,20.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,C7
32,20.0,60.0,83.33,83.33,133.33,1.0,1.0,1.6,C8
33,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,C9
34,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,C10
35,5.0,60.0,109.09,43.64,147.27,1.0,0.4,1.35,C11
36,5.0,60.0,109.09,43.64,147.27,1.0,0.4,1.35,C12
