ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
13,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65,B1
14,25.0,60.0,77.92,93.51,128.57,1.0,1.2,1.65,B2
15,20.0,60.0,80.43,92.49,127.08,1.0,1.15,1.58,B3
16,20.0,60.0,80.43,92.49,127.08,1.0,1.15,1.58,B4
17,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55,B5
18,20.0,60.0,80.43,94.91,124.66,1.0,1.18,1.55,B6
19,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52,B7
20,20.0,60.0,78.53,102.09,119.37,1.0,1.3,1.52,B8
21,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45,B9
22,10.0,60.0,79.58,105.04,115.38,1.0,1.32,1.45,B10
23,5.0,60.0,80.0,104.0,116.0,1.0,1.3,1.45,B11
24,5.0,60.0,80.0,104.0,116.0,1.0,1.3,1.45,B12
