ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,60.0,60.0,88.24,92.65,119.12,1.0,1.05,1.35,E1
50,60.0,60.0,88.24,92.65,119.12,1.0,1.05,1.35,E2
51,60.0,60.0,90.91,100.0,109.09,1.0,1.1,1.2,E3
52,60.0,60.0,90.91,100.0,109.09,1.0,1.1,1.2,E4
53,30.0,60.0,85.71,81.43,132.86,1.0,0.95,1.55,E5
54,30.0,60.0,85.71,81.43,132.86,1.0,0.95,1.55,E6
55,25.0,60.0,84.27,82.58,133.15,1.0,0.98,1.58,E7
56,25.0,60.0,84.27,82.58,133.15,1.0,0.98,1.58,E8
57,20.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,E9
58,20.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,E10
59,15.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,E11
60,15.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,E12
