ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,55.0,80.0,83.8,82.12,134.08,1.0,0.98,1.6,E1
50,55.0,80.0,83.8,82.12,134.08,1.0,0.98,1.6,E2
51,30.0,80.0,85.23,78.41,136.36,1.0,0.92,1.6,E3
52,30.0,80.0,85.23,78.41,136.36,1.0,0.92,1.6,E4
53,15.0,80.0,83.33,83.33,133.33,1.0,1.0,1.6,E5
54,15.0,80.0,83.33,83.33,133.33,1.0,1.0,1.6,E6
55,15.0,80.0,85.23,78.41,136.36,1.0,0.92,1.6,E7
56,15.0,80.0,85.23,78.41,136.36,1.0,0.92,1.6,E8
57,5.0,80.0,82.87,84.53,132.6,1.0,1.02,1.6,E9
58,5.0,80.0,82.87,84.53,132.6,1.0,1.02,1.6,E10
59,5.0,80.0,83.8,82.12,134.08,1.0,0.98,1.6,E11
60,5.0,80.0,83.8,82.12,134.08,1.0,0.98,1.6,E12
