ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
61,25.0,70.0,78.53,86.39,135.08,1.0,1.1,1.72,F1
62,25.0,70.0,78.53,86.39,135.08,1.0,1.1,1.72,F2
63,20.0,70.0,80.0,84.0,136.0,1.0,1.05,1.7,F3
64,20.0,70.0,80.0,84.0,136.0,1.0,1.05,1.7,F4
65,20.0,70.0,80.21,89.84,129.95,1.0,1.12,1.62,F5
66,20.0,70.0,80.21,89.84,129.95,1.0,1.12,1.62,F6
67,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6,F7
68,20.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6,F8
69,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58,F9
70,20.0,70.0,83.33,85.0,131.67,1.0,1.02,1.58,F10
71,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52,F11
72,20.0,70.0,83.33,90.0,126.67,1.0,1.08,1.52,F12
