ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
25,30.0,65.0,72.29,104.82,122.89,1.0,1.45,1.7,C1
26,30.0,65.0,72.29,104.82,122.89,1.0,1.45,1.7,C2
27,25.0,65.0,70.09,103.74,126.17,1.0,1.48,1.8,C3
28,25.0,65.0,70.09,103.74,126.17,1.0,1.48,1.8,C4
29,20.0,65.0,70.59,105.88,123.53,1.0,1.5,1.75,C5
30,20.0,65.0,70.59,105.88,123.53,1.0,1.5,1.75,C6
31,10.0,65.0,78.95,106.58,114.47,1.0,1.35,1.45,C7
32,10.0,65.0,78.95,106.58,114.47,1.0,1.35,1.45,C8
33,10.0,65.0,79.79,110.11,110.11,1.0,1.38,1.38,C9
34,10.0,65.0,79.79,110.11,110.11,1.0,1.38,1.38,C10
35,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48,C11
36,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48,C12
