ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
61,60.0,60.0,101.69,76.27,122.03,1.0,0.75,1.2,F1
62,60.0,60.0,101.69,76.27,122.03,1.0,0.75,1.2,F2
63,45.0,60.0,86.96,82.61,130.43,1.0,0.95,1.5,F3
64,45.0,60.0,86.96,82.61,130.43,1.0,0.95,1.5,F4
65,30.0,60.0,103.09,70.1,126.8,1.0,0.68,1.23,F5
66,30.0,60.0,103.09,70.1,126.8,1.0,0.68,1.23,F6
67,30.0,60.0,104.17,67.71,128.12,1.0,0.65,1.23,F7
68,30.0,60.0,104.17,67.71,128.12,1.0,0.65,1.23,F8
69,10.0,60.0,102.74,73.97,123.29,1.0,0.72,1.2,F9
70,10.0,60.0,102.74,73.97,123.29,1.0,0.72,1.2,F10
71,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,F11
72,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,F12
