ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
61,60.0,60.0,109.09,52.36,138.55,1.0,0.48,1.27,F1
62,60.0,60.0,109.09,52.36,138.55,1.0,0.48,1.27,F2
63,40.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F3
64,40.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F4
65,25.0,60.0,101.01,72.73,126.26,1.0,0.72,1.25,F5
66,25.0,60.0,101.01,72.73,126.26,1.0,0.72,1.25,F6
67,10.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F7
68,10.0,60.0,103.45,72.41,124.14,1.0,0.7,1.2,F8
69,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,F9
70,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,F10
71,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,F11
72,5.0,60.0,84.51,80.28,135.21,1.0,0.95,1.6,F12
