ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
73,40.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G1
74,40.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G2
75,20.0,125.0,81.52,89.67,128.8,1.0,1.1,1.58,G3
76,20.0,125.0,81.52,89.67,128.8,1.0,1.1,1.58,G4
77,20.0,125.0,83.8,92.18,124.02,1.0,1.1,1.48,G5
78,20.0,125.0,83.8,92.18,124.02,1.0,1.1,1.48,G6
79,5.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G7
80,5.0,125.0,81.08,89.19,129.73,1.0,1.1,1.6,G8
81,5.0,125.0,82.19,86.3,131.51,1.0,1.05,1.6,G9
82,5.0,125.0,82.19,86.3,131.51,1.0,1.05,1.6,G10
83,5.0,125.0,85.71,94.29,120.0,1.0,1.1,1.4,G11
84,5.0,125.0,85.71,94.29,120.0,1.0,1.1,1.4,G12
