ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
37,60.0,150.0,97.4,48.7,153.9,1.0,0.5,1.58,D1
38,60.0,150.0,97.4,48.7,153.9,1.0,0.5,1.58,D2
39,60.0,150.0,95.54,59.24,145.22,1.0,0.62,1.52,D3
40,60.0,150.0,95.54,59.24,145.22,1.0,0.62,1.52,D4
41,60.0,150.0,95.24,66.67,138.1,1.0,0.7,1.45,D5
42,60.0,150.0,95.24,66.67,138.1,1.0,0.7,1.45,D6
43,60.0,150.0,100.0,70.0,130.0,1.0,0.7,1.3,D7
44,60.0,150.0,100.0,70.0,130.0,1.0,0.7,1.3,D8
45,60.0,150.0,96.77,87.1,116.13,1.0,0.9,1.2,D9
46,60.0,150.0,96.77,87.1,116.13,1.0,0.9,1.2,D10
47,60.0,150.0,101.69,76.27,122.03,1.0,0.75,1.2,D11
48,60.0,150.0,101.69,76.27,122.03,1.0,0.75,1.2,D12
