ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
13,60.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6,B1
14,60.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6,B2
15,40.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6,B3
16,40.0,70.0,81.52,88.04,130.43,1.0,1.08,1.6,B4
17,25.0,70.0,82.87,84.53,132.6,1.0,1.02,1.6,B5
18,25.0,70.0,82.87,84.53,132.6,1.0,1.02,1.6,B6
19,5.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6,B7
20,5.0,70.0,81.08,89.19,129.73,1.0,1.1,1.6,B8
21,5.0,70.0,86.96,73.91,139.13,1.0,0.85,1.6,B9
22,5.0,70.0,86.96,73.91,139.13,1.0,0.85,1.6,B10
23,5.0,70.0,90.91,100.0,109.09,1.0,1.1,1.2,B11
24,5.0,70.0,90.91,100.0,109.09,1.0,1.1,1.2,B12
