ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
37,25.0,65.0,71.43,100.0,128.57,1.0,1.4,1.8,D1
38,25.0,65.0,71.43,100.0,128.57,1.0,1.4,1.8,D2
39,10.0,65.0,77.32,106.7,115.98,1.0,1.38,1.5,D3
40,10.0,65.0,77.32,106.7,115.98,1.0,1.38,1.5,D4
41,10.0,65.0,79.58,107.43,113.0,1.0,1.35,1.42,D5
42,10.0,65.0,79.58,107.43,113.0,1.0,1.35,1.42,D6
43,10.0,65.0,82.19,102.74,115.07,1.0,1.25,1.4,D7
44,10.0,65.0,82.19,102.74,115.07,1.0,1.25,1.4,D8
45,10.0,65.0,80.43,110.99,108.58,1.0,1.38,1.35,D9
46,10.0,65.0,80.43,110.99,108.58,1.0,1.38,1.35,D10
47,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48,D11
48,5.0,65.0,78.95,104.21,116.84,1.0,1.32,1.48,D12
