ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
3,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62,A3
4,20.0,70.0,77.52,96.9,125.58,1.0,1.25,1.62,A4
