ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
13,25.0,60.0,75.95,94.94,129.11,1.0,1.25,1.7,B1
14,25.0,60.0,75.95,94.94,129.11,1.0,1.25,1.7,B2
15,25.0,60.0,73.71,104.67,121.62,1.0,1.42,1.65,B3
16,25.0,60.0,73.71,104.67,121.62,1.0,1.42,1.65,B4
17,25.0,60.0,76.53,97.19,126.28,1.0,1.27,1.65,B5
18,25.0,60.0,76.53,97.19,126.28,1.0,1.27,1.65,B6
19,25.0,60.0,77.92,97.4,124.68,1.0,1.25,1.6,B7
20,25.0,60.0,77.92,97.4,124.68,1.0,1.25,1.6,B8
21,20.0,60.0,79.37,97.62,123.02,1.0,1.23,1.55,B9
22,20.0,60.0,79.37,97.62,123.02,1.0,1.23,1.55,B10
23,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42,B11
24,10.0,60.0,78.12,110.94,110.94,1.0,1.42,1.42,B12
