ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
37,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6,D1
38,5.0,150.0,88.24,70.59,141.18,1.0,0.8,1.6,D2
39,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6,D3
40,5.0,150.0,88.76,69.23,142.01,1.0,0.78,1.6,D4
41,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5,D5
42,5.0,150.0,93.17,67.08,139.75,1.0,0.72,1.5,D6
43,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45,D7
44,5.0,150.0,97.72,60.59,141.69,1.0,0.62,1.45,D8
45,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2,D9
46,5.0,150.0,105.26,68.42,126.32,1.0,0.65,1.2,D10
47,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2,D11
48,5.0,150.0,115.38,46.15,138.46,1.0,0.4,1.2,D12
