ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
1,60.0,80.0,95.24,71.43,133.33,1.0,0.75,1.4,A1
2,60.0,80.0,95.24,71.43,133.33,1.0,0.75,1.4,A2
3,10.0,80.0,86.21,93.1,120.69,1.0,1.08,1.4,A3
4,10.0,80.0,86.21,93.1,120.69,1.0,1.08,1.4,A4
5,5.0,80.0,90.91,63.64,145.45,1.0,0.7,1.6,A5
6,5.0,80.0,90.91,63.64,145.45,1.0,0.7,1.6,A6
7,5.0,80.0,85.71,94.29,120.0,1.0,1.1,1.4,A7
8,5.0,80.0,85.71,94.29,120.0,1.0,1.1,1.4,A8
9,5.0,80.0,90.36,83.13,126.51,1.0,0.92,1.4,A9
10,5.0,80.0,90.36,83.13,126.51,1.0,0.92,1.4,A10
11,5.0,80.0,102.74,63.7,133.56,1.0,0.62,1.3,A11
12,5.0,80.0,102.74,63.7,133.56,1.0,0.62,1.3,A12
