ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
61,60.0,115.0,89.02,73.0,137.98,1.0,0.82,1.55,F1
62,60.0,115.0,89.02,73.0,137.98,1.0,0.82,1.55,F2
63,55.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F3
64,55.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F4
65,50.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F5
66,50.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F6
67,25.0,115.0,85.71,77.14,137.14,1.0,0.9,1.6,F7
68,25.0,115.0,85.71,77.14,137.14,1.0,0.9,1.6,F8
69,25.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F9
70,25.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F10
71,5.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F11
72,5.0,115.0,87.72,71.93,140.35,1.0,0.82,1.6,F12
