ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
13,10.0,60.0,94.64,53.94,151.42,1.0,0.57,1.6,B1
14,10.0,60.0,94.64,53.94,151.42,1.0,0.57,1.6,B2
15,10.0,60.0,95.24,52.38,152.38,1.0,0.55,1.6,B3
16,10.0,60.0,95.24,52.38,152.38,1.0,0.55,1.6,B4
17,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,B5
18,5.0,60.0,83.8,82.12,134.08,1.0,0.98,1.6,B6
19,5.0,60.0,93.17,57.76,149.07,1.0,0.62,1.6,B7
20,5.0,60.0,93.17,57.76,149.07,1.0,0.62,1.6,B8
21,5.0,60.0,94.64,53.94,151.42,1.0,0.57,1.6,B9
22,5.0,60.0,94.64,53.94,151.42,1.0,0.57,1.6,B10
23,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,B11
24,5.0,60.0,100.0,40.0,160.0,1.0,0.4,1.6,B12
