ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
61,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48,F1
62,50.0,85.0,84.27,91.01,124.72,1.0,1.08,1.48,F2
63,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6,F3
64,20.0,85.0,84.51,80.28,135.21,1.0,0.95,1.6,F4
65,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6,F5
66,5.0,85.0,83.33,83.33,133.33,1.0,1.0,1.6,F6
67,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6,F7
68,5.0,85.0,88.76,69.23,142.01,1.0,0.78,1.6,F8
69,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58,F9
70,5.0,85.0,90.91,65.45,143.64,1.0,0.72,1.58,F10
71,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48,F11
72,5.0,85.0,96.77,60.0,143.23,1.0,0.62,1.48,F12
