ID,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,well
49,25.0,150.0,95.24,57.14,147.62,1.0,0.6,1.55,E1
50,25.0,150.0,95.24,57.14,147.62,1.0,0.6,1.55,E2
51,20.0,150.0,93.17,65.22,141.61,1.0,0.7,1.52,E3
52,20.0,150.0,93.17,65.22,141.61,1.0,0.7,1.52,E4
53,10.0,150.0,93.75,65.62,140.62,1.0,0.7,1.5,E5
54,10.0,150.0,93.75,65.62,140.62,1.0,0.7,1.5,E6
55,5.0,150.0,95.24,57.14,147.62,1.0,0.6,1.55,E7
56,5.0,150.0,95.24,57.14,147.62,1.0,0.6,1.55,E8
57,5.0,150.0,93.17,65.22,141.61,1.0,0.7,1.52,E9
58,5.0,150.0,93.17,65.22,141.61,1.0,0.7,1.52,E10
59,5.0,150.0,95.54,59.24,145.22,1.0,0.62,1.52,E11
60,5.0,150.0,95.54,59.24,145.22,1.0,0.62,1.52,E12
