Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files,campaign
60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0888739588458755,0.1064495529195784,0.2376463872929049,0.1723346593583386,0.0,0.1791557236916786,0.128855245741653,0.0803149482652288,0.1417436094568047,0.0806001968432381,0.0805168562465386,0.0876204829709904,0.0600115576940093,N1 R0 60C sample 3_Subt2__0__12-27-19-733.csv,N1
60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0713241410939152,0.1469709115808451,0.2594376970516881,0.1631850929795423,0.1492881973481945,0.1613721104937186,0.1588331607070077,0.0,0.1889310935429004,0.188854060319675,0.1531700529063077,0.1488365117500358,0.1552164957076195,N1 R0 60C sample 4_Subt2__0__12-28-50-232.csv,N1
30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.082258467059028,0.0983486722762445,0.2107494264049128,0.1723855694020087,0.1540695502363939,0.1246226672663918,0.1200148893599611,0.1323834788311175,0.1322712474596594,0.1335619521485584,0.1500437980194021,0.1499529842689725,0.2394242342664075,N1 R0 60C sample 7_Subt2__0__11-58-42-273.csv,N1
30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.3018985307704216,0.3395654767690153,0.2973304895478584,0.0,0.2632495439531291,0.2878741471333466,0.2874689938332977,0.0,0.0,0.0,0.3900948072979114,0.3936505370998521,N1 R0 60C sample 8_Subt2__0__11-59-10-772.csv,N1
5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.1392926334874018,0.2129856883786943,0.3226207480935895,0.2377950793744888,0.0,0.1570698685726023,0.1276790926881424,0.1287125573863335,0.1285760573831298,0.1541107949388879,0.0,0.0,0.225542094326912,N1 R0 60C sample 11_Subt2__0__11-37-12-802.csv,N1
5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.2434813446047189,0.3153940476483985,0.2197189062487747,0.1688278330354274,0.1400104641032288,0.1303835651790006,0.1303151004735089,0.1165505515156063,0.1164466974856706,0.1348555721097776,0.1347497495844235,0.1492146848039512,N1 R0 60C sample 12_Subt2__0__11-37-34-301.csv,N1
60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.2209690189270429,0.3804298022539976,0.2945933955393101,0.0,0.2623922728057016,0.0,0.0,0.1863259044563754,0.1861815969629154,0.1961383456108289,0.2041980745850475,N1R0 105C sample 3_Subt2__0__13-39-09-638.csv,N1
60.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.2443239180181519,0.3151475295457763,0.2415838540376413,0.2419459043282207,0.1859250896156503,0.1152342972855175,0.1813188333447467,0.1753241151162986,0.1194432322998747,0.1250716524073293,0.1428432915131087,N1R0 105C sample 4_Subt2__0__13-39-54-139.csv,N1
30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.1535510820885557,0.2880376731576975,0.273318404654041,0.2607340417448736,0.1854540948538289,0.1676237500208654,0.167524306060139,0.1169270116877794,0.1439864717927665,0.1416994601722059,0.1387974187317918,N1R0 105C sample 7_Subt2__0__13-12-51-672.csv,N1
30.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.2063881248286921,0.3637593210273078,0.2528860476027824,0.0,0.1956976245833722,0.143424795338656,0.1669662503966193,0.1486646012213053,0.1428115275616448,0.1501169677999695,0.1561021550176519,N1R0 105C sample 8_Subt2__0__13-13-29-673.csv,N1
5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.1494067476454116,0.2204437408940862,0.3269430178336376,0.2903573359216868,0.2533804312463374,0.0,0.0,0.1802781562223502,0.1735134886713599,0.1498072333401789,0.1496595865064775,0.1456180395422226,N1R0 105C sample 11_Subt2__0__12-51-45-702.csv,N1
5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.2068284963943472,0.2819241743340348,0.4001448660553867,0.3332330510733982,0.3180820940161561,0.0,0.0,0.0,0.0,0.0,0.2413322932778663,0.2447285167660501,N1R0 105C sample 12_Subt2__0__12-52-09-188.csv,N1
60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.1357073658600081,0.0579951680790673,0.3108948783048144,0.1216765747193031,0.0576212999966791,0.0942208626769435,0.0775735485528971,0.1015209222105071,0.0839622870846088,0.1063450277084013,0.1062622746936477,0.1020486738211876,0.1171683604391656,N1R0 150C sample 3_Subt2__0__14-47-02-040.csv,N1
60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.1862684579060477,0.0,0.3283216677051501,0.0,0.0,0.2556888028073184,0.0,0.1890688963594868,0.1891379542835478,0.2020979554827008,0.2020514582949677,0.2489974085905995,0.2917515174157547,N1R0 150C sample 4_Subt2__0__14-47-25-046.csv,N1
30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.2651622300659021,0.2450615003083518,0.0,0.2579338655787181,0.0,0.2561427588460566,0.2562767771437346,0.2480884093349264,0.2981931622041418,0.2979929660731263,0.3268529428870905,N1R0 150C sample 7_Subt2__0__14-23-09-578.csv,N1
30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.0913917732509423,0.1038971707130891,0.1397671616001239,0.1750193863214707,0.1839554985058446,0.0,0.2747673683396281,0.1654660267881954,0.2020241167672918,0.2115136240755994,0.2363392508136358,N1R0 150C sample 8_Subt2__0__14-22-37-580.csv,N1
5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.5649503344128247,0.0,0.0,0.2765232381412972,0.2567298312156327,0.2571284895065486,0.2571284895065486,0.2660291319549331,0.2657011932050713,0.264859331205047,0.2645017193545045,N1R0 150C sample 11_Subt2__0__13-57-07-113.csv,N1
5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.2501536813839307,0.4069891972244875,0.3749408553736695,0.0,0.0,0.274908810567899,0.2260092307064018,0.2268486520356855,0.2257897604285685,0.225580459981922,0.2292926856655874,0.2440500160787758,N1R0 150C sample 12_Subt2__0__13-58-18-612.csv,N1
5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,0.0,0.3915526385419569,0.3345566709507382,0.2620094121434793,0.2099395071502542,0.0,0.2056750002403225,0.2001850637675407,0.0,0.1988717585191081,0.1987363078061744,0.2024662339701566,0.2002022921742973,N2 R0 150C sample1_Subt2__0,N1
