Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 1_std,QW 2,QW 2_std,QW 3,QW 3_std,QW 4,QW 4_std,QW 5,QW 5_std,QW 6,QW 6_std,QW 7,QW 7_std,QW 8,QW 8_std,QW 9,QW 9_std,QW 10,QW 10_std,QW 11,QW 11_std,QW 12,QW 12_std,QW 99,QW 99_std,source
20.0,60.0,0.4,1.45,0.008730627370585893,0.11332585921630912,0.060613766417869114,0.1323862395551969,0.2505929156250806,0.16689629392513175,0.22356923860404093,0.12947743431630807,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.15163172625005605,0.13285112954355885,0.09292310105892333,0.11175879710180597,0.09008154125401581,0.1058036157591923,0.12312417786986907,0.1402396731963884,0.37039406084940013,0.11883213445945366,0.2896144021386413,0.12161306344544379,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,0.5105263157894737,1.45,0.0127529666045164,0.11035379943499843,0.1020710401978232,0.1288883723130136,0.2505929156250806,0.16689629392513175,0.2293324973617456,0.12667834923682006,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.14212677906169485,0.1311154684612241,0.09304432443097624,0.11172870267823747,0.09107554947391809,0.10400100785299167,0.12312417786986907,0.1402396731963884,0.3268077680580908,0.11590191070726742,0.27175647395576386,0.11941483273452276,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,0.6210526315789474,1.45,0.01607491869306047,0.10849944076303626,0.15743158904900165,0.12653208695391666,0.2505929156250806,0.16689629392513175,0.22215054389773137,0.12454099660272465,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.12650731487288822,0.1296292985858762,0.09341878860957809,0.11169490777834623,0.09319730554087846,0.10265405753239183,0.12312417786986907,0.1402396731963884,0.2649377256156402,0.11382828670350967,0.23699183876058022,0.11767352908212146,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,0.7315789473684211,1.45,0.017972384327901048,0.10697473954710277,0.22151785778798205,0.12441103738808865,0.2505929156250806,0.16689629392513175,0.20227787356191718,0.12231766847139865,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.10781893073524845,0.1278340700954033,0.09318582377670746,0.11164431457294514,0.09346461078472101,0.10130616443583913,0.12312417786986907,0.1402396731963884,0.19666020264489129,0.11185705057554844,0.19277161417031724,0.11577829791510989,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,0.8421052631578948,1.45,0.019154504949383117,0.1054439501630992,0.28916143947285083,0.12204419325507992,0.2505929156250806,0.16689629392513175,0.17491695223090842,0.11931476430253263,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.09101569294162888,0.12470526120661814,0.09124932573229419,0.11137282780791226,0.08695191746492614,0.0995751479548543,0.12312417786986907,0.1402396731963884,0.13287518856247627,0.10950132635235366,0.14523187498249282,0.11303847287214831,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,0.9526315789473685,1.45,0.022491981805435983,0.10402060880608242,0.35586767986118495,0.11960989155064838,0.2505929156250806,0.16689629392513175,0.14515028252996665,0.11564337503540487,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.08083571465396655,0.11997131309586023,0.08882300270252395,0.11034197356125851,0.06994079167773637,0.0975473739841405,0.12312417786986907,0.1402396731963884,0.08001360177288837,0.10691785547170511,0.0971445653717731,0.10949046862652821,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,1.0631578947368423,1.45,0.03314607417796441,0.10298561015939668,0.41796430632207277,0.11765659832445234,0.2505929156250806,0.16689629392513175,0.11561557525869552,0.11221774365559506,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.07475022679179393,0.11473430331958777,0.08628929290910409,0.10755722911818089,0.04479665303070833,0.09572022845559196,0.12312417786986907,0.1402396731963884,0.04141989076274344,0.10471941129273801,0.05264596522342203,0.10602162876190657,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,1.1736842105263159,1.45,0.05774931032838132,0.10254261154761982,0.47213971426039025,0.11670861108743488,0.2505929156250806,0.16689629392513175,0.0893180859499462,0.11031240997593894,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.06306711610403891,0.11146831195274788,0.07473378415285153,0.10502807472045639,0.020917726565943248,0.09472471790162013,0.12312417786986907,0.1402396731963884,0.0194279274993705,0.10358683918229533,0.021520554168217826,0.104024695501429,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,1.2842105263157895,1.45,0.10162575863569578,0.10281848283691293,0.5133532432016844,0.11701501771192804,0.2505929156250806,0.16689629392513175,0.067089351215724,0.11061755307319364,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.050893201180425965,0.11183096004362951,0.06091426741224015,0.10557566318559539,0.007365974255210447,0.09491326990905802,0.12312417786986907,0.1402396731963884,0.01351562729765847,0.10385328727826693,0.010527645941402528,0.10431100193219771,0.13224564385510626,0.17717645291739312,GP_mean
20.0,60.0,1.3947368421052633,1.45,0.16408395877293586,0.10411074963066176,0.5349411406928382,0.11863641973455709,0.2505929156250806,0.16689629392513175,0.04600904800934867,0.11242321880015606,0.1102589961264353,0.13119088372929236,0.07529279109605537,0.10158036084682787,0.058567315236413925,0.11405651463292968,0.05077800329417536,0.10731637736022923,0.006087258633143022,0.0960802520617083,0.12312417786986907,0.1402396731963884,0.018863162825166452,0.10535496623307526,0.015133879201568848,0.10601885329392052,0.13224564385510626,0.17717645291739312,GP_mean
