Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
60.0,150.0,0.675,1.325,0.1862684579060477,0.0,0.3283216677051501,0.0,0.0,0.2556888028073184,0.0,0.1890688963594868,0.1891379542835478,0.2020979554827008,0.2020514582949677,0.2489974085905995,0.2917515174157547,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,0.675,1.325,0.0,0.0,0.2651622300659021,0.2450615003083518,0.0,0.2579338655787181,0.0,0.2561427588460566,0.2562767771437346,0.2480884093349264,0.2981931622041418,0.2979929660731263,0.3268529428870905,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,150.0,0.675,1.325,0.0,0.0,0.0913917732509423,0.1038971707130891,0.1397671616001239,0.1750193863214707,0.1839554985058446,0.0,0.2747673683396281,0.1654660267881954,0.2020241167672918,0.2115136240755994,0.2363392508136358,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,0.675,1.325,0.0,0.0,0.5649503344128247,0.0,0.0,0.2765232381412972,0.2567298312156327,0.2571284895065486,0.2571284895065486,0.2660291319549331,0.2657011932050713,0.264859331205047,0.2645017193545045,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,0.675,1.325,0.0,0.2501536813839307,0.4069891972244875,0.3749408553736695,0.0,0.0,0.274908810567899,0.2260092307064018,0.2268486520356855,0.2257897604285685,0.225580459981922,0.2292926856655874,0.2440500160787758,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.0,1.5,0.0,0.3915526385419569,0.3345566709507382,0.2620094121434793,0.2099395071502542,0.0,0.2056750002403225,0.2001850637675407,0.0,0.1988717585191081,0.1987363078061744,0.2024662339701566,0.2002022921742973,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,1.0,1.5,0.0,0.4417654817549936,0.341128839429392,0.0,0.2645313165534336,0.2500345883908084,0.0,0.0,0.2339250417877212,0.2262870768059638,0.22600522574477,0.2257664302574124,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,1.0,1.5,0.0,0.2998764544537952,0.3149807688458676,0.2046357681738398,0.1950697058947083,0.0,0.2414893224045509,0.0,0.1742705478653086,0.1741742196656234,0.14511050936235,0.1449374148067096,0.1595624981716945,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,60.0,1.0,1.5,0.0,0.4494704599584895,0.4438460869040497,0.0,0.0,0.3167178327423133,0.0,0.0,0.2822511502811775,0.2822511502811775,0.282233125107739,0.2820277932451967,0.2861770346484951,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,1.0,1.5,0.0,0.4192123878272347,0.3060349666952882,0.0,0.0,0.2467117012580258,0.2072350704813978,0.2099125200791465,0.2046561841341383,0.2002356455894094,0.1990920304932708,0.1988433190034354,0.2006512876397216,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,60.0,1.0,1.5,0.0,0.4284456188853908,0.2972932092958248,0.0,0.2324816295654901,0.2423915256307966,0.0,0.2111901272801405,0.2056132655295203,0.2029624510739438,0.2027723797532613,0.199946078596004,0.2008621136767197,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,1.0,1.5,0.1892008694733649,0.3226615018497051,0.2364321811229241,0.1526294767975295,0.148621723959552,0.1342049904257649,0.1490654156763896,0.0,0.0,0.1467158252857549,0.1147128948504592,0.1146288175608781,0.1550530064229721,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,105.0,1.0,1.5,0.0,0.4015508180482643,0.326069203479073,0.2443930645363174,0.0,0.2112013833880952,0.2169082661805458,0.0,0.0,0.2080187629093036,0.207854220902401,0.2077285900813354,0.2043103639399933,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,1.0,1.5,0.0,0.2584957238820808,0.2351616613011755,0.1850973099485701,0.0,0.0,0.4143768878168923,0.0,0.0,0.22208074623559,0.2117726317044151,0.2116131027590162,0.2021349524528985,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,105.0,1.0,1.5,0.0,0.3764107718271901,0.3362675869039394,0.2655877390870405,0.0,0.0,0.409845962473681,0.0,0.0,0.0,0.0,0.3302794561974775,0.3343772470506511,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
